,S.No,Parliament Constituency,Leading Candidate,Total Votes,Margin,party
70,20,Arambagh(29),BAG MITALI,370270,25739,All India Trinamool Congress
71,10,Ongole(16),MAGUNTA SREENIVASULU REDDY,404948,26527,Telugu Desam
72,29,Ballia(72),SANATAN PANDEY,211433,27181,Samajwadi Party
73,188,Tamluk(30),ABHIJIT GANGOPADHYAY,379548,27246,Bharatiya Janata Party
74,158,Hardoi(31),JAI PRAKASH,416054,27519,Bharatiya Janata Party
75,2,Sheohar(4),LOVELY ANAND,362377,28054,Janata Dal
76,125,Jagatsinghpur(16),BIBHU PRASAD TARAI,374199,28074,Bharatiya Janata Party
77,24,Bankura(36),ARUP CHAKRABORTY,597517,28097,All India Trinamool Congress
78,223,Andaman & Nicobar Islands(1),BISHNU PADA RAY,83609,28120,Bharatiya Janata Party
79,54,Ludhiana(7),AMRINDER SINGH RAJA WARRING,251666,28270,Indian National Congress
80,159,Misrikh(32),ASHOK KUMAR RAWAT,431769,28458,Bharatiya Janata Party
81,6,Ladakh(1),MOHMAD HANEEFA,64443,28673,Independent
82,82,KORBA(4),JYOTSNA CHARANDAS MAHANT,459928,28838,Indian National Congress
83,127,Bhubaneswar(18),APARAJITA SARANGI,370845,29188,Bharatiya Janata Party
84,1,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,348238,29376,Shiv Sena
85,28,Patan(3),DABHI  BHARATSINHJI  SHANKARJI,583958,29496,Bharatiya Janata Party
86,100,Dhule(2),BHAMRE SUBHASH RAMRAO,486064,30071,Bharatiya Janata Party
87,218,Medak(6),MADHAVANENI RAGHUNANDAN RAO,440354,30568,Bharatiya Janata Party
88,19,Hooghly(28),RACHNA BANERJEE,423122,31197,All India Trinamool Congress
89,5,Arunachal East(2),TAPIR GAO,140715,31282,Bharatiya Janata Party
90,8,Etah(22),DEVESH SHAKYA,309035,32043,Samajwadi Party
91,175,Deoria(66),SHASHANK MANI,479503,32486,Bharatiya Janata Party
92,1,Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,761225,32494,All India Trinamool Congress
93,172,Maharajganj(63),PANKAJ CHAUDHARY,503489,32504,Bharatiya Janata Party
94,3,Thirupathi(SC)(23),GURUMOORTHY MADDILA,535476,32865,Yuvajana Sramika Rythu Congress Party
95,13,Sultanpur(38),RAMBHUAL NISHAD,373428,32986,Samajwadi Party
96,10,Kheri(28),UTKARSH VERMA  'MADHUR',555019,33361,Samajwadi Party
97,15,Kolkata Uttar(24),BANDYOPADHYAY SUDIP,225073,33482,All India Trinamool Congress
98,8,Banaskantha(2),GENIBEN NAGAJI THAKOR,662926,33801,Indian National Congress
99,10,Siwan(18),VIJAYLAKSHMI DEVI,174212,34639,Janata Dal
100,3,Sitamarhi(5),DEVESH CHANDRA THAKUR,302261,35113,Janata Dal
101,22,Ujiarpur(22),NITYANAND RAI,395067,35440,Bharatiya Janata Party
102,171,Domariyaganj(60),JAGDAMBIKA PAL,412326,36141,Bharatiya Janata Party
103,45,Latur (41),DR. KALGE SHIVAJI BANDAPPA,360319,36422,Indian National Congress
104,1,Arrah(32),SUDAMA PRASAD,292816,36970,Communist Party of India
105,123,Cuttack(14),BHARTRUHARI MAHTAB,389670,37437,Bharatiya Janata Party
106,1,Wardha(8),AMAR SHARADRAO KALE,243678,37586,Nationalist Congress Party – Sharadchandra Pawar
107,31,Machhlishahr(74),PRIYA SAROJ,338768,37591,Samajwadi Party
108,7,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,358674,37932,Nationalist Congress Party – Sharadchandra Pawar
109,11,SALEM(15),SELVAGANAPATHI T M,253035,37954,Dravida Munnetra Kazhagam
110,43,Jalna(18),KALYAN VAIJINATHRAO KALE,331488,38111,Indian National Congress
111,155,Bareilly(25),CHHATRA PAL SINGH GANGWAR,462875,38725,Bharatiya Janata Party
112,11,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,503511,38859,Indian National Congress
113,53,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,575693,38953,Bharatiya Janata Party
114,141,KOTA(24),OM BIRLA,724352,39747,Bharatiya Janata Party
115,1,Mirzapur(79),ANUPRIYA PATEL,391698,39853,Apna Dal
116,160,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,540213,40042,Bharatiya Janata Party
117,21,Faizabad(54),AWADHESH PRASAD,437817,40097,Samajwadi Party
118,187,Bangaon(14),SHANTANU THAKUR,438131,40327,Bharatiya Janata Party
119,53,Amritsar(2),GURJEET SINGH AUJLA,253915,40340,Indian National Congress
120,15,COIMBATORE(20),GANAPATHY RAJKUMAR P,214631,40633,Dravida Munnetra Kazhagam
121,1,NAGAUR(14),HANUMAN BENIWAL,591460,41156,Rashtriya Loktantrik Party
122,7,Dum dum(16),SOUGATA RAY,318219,41579,All India Trinamool Congress
123,9,AMBALA(1),VARUN CHAUDHRY,627850,42180,Indian National Congress
124,17,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,624659,42224,Indian National Congress
125,183,Raiganj(5),KARTICK CHANDRA PAUL,365136,42277,Bharatiya Janata Party
126,20,Hassan(16),SHREYAS. M. PATEL,670274,43738,Indian National Congress
127,9,Shirdi (38),BHAUSAHEB RAJARAM WAKCHAURE,459425,43849,Shiv Sena
128,23,Medinipur(34),JUNE MALIAH,548223,43876,All India Trinamool Congress
129,225,Chandni Chowk(1),PRAVEEN KHANDELWAL,398923,43999,Bharatiya Janata Party
130,1,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,302402,44466,Aam Aadmi Party
131,13,Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,345626,44563,Janata Dal
132,79,Allahabad(52),UJJWAL RAMAN SINGH,362906,44581,Indian National Congress
133,8,Mumbai South(31),ARVIND GANPAT SAWANT,349609,45051,Shiv Sena
134,118,Dhenkanal(9),RUDRA NARAYAN PANY,397720,46552,Bharatiya Janata Party
135,73,MORENA(1),SHIVMANGAL SINGH TOMAR,489367,46730,Bharatiya Janata Party
136,1,Rajmahal(1),VIJAY KUMAR HANSDAK,309375,46849,Jharkhand Mukti Morcha
