,S.No,Parliament Constituency,Leading Candidate,Total Votes,Margin,party
306,32,Ghazipur(75),AFZAL ANSARI,485326,113684,Samajwadi Party
307,22,Jhargram(33),KALIPADA SAREN (KHERWAL),509289,113720,All India Trinamool Congress
308,135,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,716298,114115,Bharatiya Janata Party
309,91,RAJGARH(20),RODMAL NAGAR,609270,114448,Bharatiya Janata Party
310,24,Vadakara(3),SHAFI PARAMBIL,550930,114753,Indian National Congress
311,14,Hindupur(20),B K PARTHASARATHI,627200,115024,Telugu Desam
312,29,Birbhum(42),SATABDI ROY,527296,117570,All India Trinamool Congress
313,232,UDHAMPUR(4),DR JITENDRA SINGH,521163,118292,Bharatiya Janata Party
314,9,Gopalganj(17),DR. ALOK KUMAR SUMAN,470786,118687,Janata Dal
315,104,Nagpur(10),NITIN JAIRAM GADKARI,570063,119418,Bharatiya Janata Party
316,14,Paschim Champaran(2),DR.SANJAY JAISWAL,501715,119702,Bharatiya Janata Party
317,5,Supaul(8),DILESHWAR KAMAIT,430011,119850,Janata Dal
318,27,Azamgarh(69),DHARMENDRA YADAV,368480,121504,Samajwadi Party
319,72,TIRUNELVELI(38),ROBERT BRUCE C,358156,121581,Indian National Congress
320,8,Diphu(6),AMARSING TISSO,292476,122074,Bharatiya Janata Party
321,120,Kalahandi(11),MALVIKA DEVI,493850,122433,Bharatiya Janata Party
322,83,Khunti(11),KALI CHARAN MUNDA,429563,122738,Indian National Congress
323,28,Ghosi(70),RAJEEV RAI,334023,124824,Samajwadi Party
324,78,Amethi(37),KISHORI LAL,434815,126078,Indian National Congress
325,16,Kannauj(42),AKHILESH YADAV,511090,128316,Samajwadi Party
326,16,Bidar(7),SAGAR ESHWAR KHANDRE,665162,129396,Indian National Congress
327,5,Sambhal(8),ZIA UR REHMAN,511608,130275,Samajwadi Party
328,21,Ghatal(32),ADHIKARI DEEPAK (DEV),576037,130608,All India Trinamool Congress
329,21,Chamarajanagar(22),SUNIL BOSE,575234,130770,Indian National Congress
330,3,CHENNAI CENTRAL(4),DAYANIDHI MARAN,233076,131497,Dravida Munnetra Kazhagam
331,233,JAMMU(5),JUGAL KISHORE,677571,131540,Bharatiya Janata Party
332,85,Peddapalle (2),VAMSI KRISHNA GADDAM,474892,131872,Indian National Congress
333,8,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",290507,132081,Dravida Munnetra Kazhagam
334,112,Sundargarh(2),JUAL ORAM,446087,132380,Bharatiya Janata Party
335,199,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,635390,132440,Bharatiya Janata Party
336,30,Idukki(13),ADV. DEAN KURIAKOSE,432222,133754,Indian National Congress
337,22,Ambedkar Nagar(55),LALJI VERMA,483864,133839,Samajwadi Party
338,97,KHARGONE(27),GAJENDRA SINGH PATEL,817161,134513,Bharatiya Janata Party
339,38,Junagadh(13),CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494,Bharatiya Janata Party
340,2,NAGAPATTINAM(29),SELVARAJ V,296228,135672,Communist Party of India
341,182,Darjeeling(4),RAJU BISTA,468242,135823,Bharatiya Janata Party
342,4,Jorhat(14),GAURAV GOGOI,722645,137462,Indian National Congress
343,26,Bardhaman-Durgapur(39),AZAD KIRTI JHA,716545,137648,All India Trinamool Congress
344,8,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,734747,138026,Telugu Desam
345,66,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262,Bharatiya Janata Party
346,16,Howrah(25),PRASUN BANERJEE,495319,139793,All India Trinamool Congress
347,3,Samastipur(23),SHAMBHAVI,424206,141046,Lok Janshakti Party
348,21,TENKASI(37),DR RANI SRI KUMAR,312323,141689,Dravida Munnetra Kazhagam
349,214,Haridwar(5),TRIVENDRA SINGH RAWAT,619112,143030,Bharatiya Janata Party
350,6,ARAKKONAM(7),S JAGATHRATCHAKAN,242639,143518,Dravida Munnetra Kazhagam
351,115,Mayurbhanj(5),NABA CHARAN MAJHI,363221,143569,Bharatiya Janata Party
352,9,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,525941,144288,Telugu Desam
353,230,West Delhi(6),KAMALJEET SEHRAWAT,650310,144674,Bharatiya Janata Party
354,2,Hajipur(21),CHIRAG PASWAN,472996,144768,Lok Janshakti Party
355,1,Nagina(5),CHANDRASHEKHAR,491045,145053,Aazad Samaj Party
356,26,Kozhikode(5),M. K. RAGHAVAN,510178,145405,Indian National Congress
357,11,Mathurapur(20),BAPI HALDAR,455067,145552,All India Trinamool Congress
358,169,Kaiserganj(57),KARAN BHUSHAN SINGH,557775,147260,Bharatiya Janata Party
359,1,Kollam(18),N K PREMACHANDRAN,432670,147370,Revolutionary Socialist Party
360,2,Baghpat(11),DR RAJKUMAR SANGWAN,435003,148067,Rashtriya Lok Dal
361,36,Nandurbar(1),ADV GOWAAL KAGADA PADAVI,699632,151013,Indian National Congress
362,209,Hazaribagh(14),MANISH JAISWAL,356306,151221,Bharatiya Janata Party
363,25,Bardhaman Purba(38),DR. SHARMILA SARKAR,660875,151244,All India Trinamool Congress
364,8,Madhepura(13),DINESH CHANDRA YADAV,572433,152275,Janata Dal
365,178,Varanasi(77),NARENDRA MODI,611439,152355,Bharatiya Janata Party
366,211,Garhwal(2),ANIL BALUNI,412677,152986,Bharatiya Janata Party
367,19,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,373775,153309,Bharatiya Janata Party
368,5,KANCHEEPURAM(6),SELVAM. G,418210,153955,Dravida Munnetra Kazhagam
369,4,Thane(25),NARESH GANPAT MHASKE,577854,155209,Shiv Sena
370,60,Belgaum(2),JAGADISH SHETTAR,663574,155291,Bharatiya Janata Party
371,221,Chevella(10),KONDA VISHWESHWAR REDDY,674831,155754,Bharatiya Janata Party
372,55,FARIDABAD(10),KRISHAN PAL,712126,157767,Bharatiya Janata Party
373,16,POLLACHI(21),ESWARASAMY K,362754,158368,Dravida Munnetra Kazhagam
374,10,Kaziranga(10),KAMAKHYA PRASAD TASA,709394,160051,Bharatiya Janata Party
375,204,Kodarma(5),ANNPURNA DEVI,364726,161979,Bharatiya Janata Party
376,30,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,668140,162009,Bharatiya Janata Party
377,19,THENI(33),THANGA TAMILSELVAN,308688,162020,Dravida Munnetra Kazhagam
378,71,Chikkballapur(27),DR.K.SUDHAKAR,819588,162099,Bharatiya Janata Party
379,17,Uluberia(26),SAJDA AHMED,493624,162348,All India Trinamool Congress
380,14,Kolkata Dakshin(23),MALA ROY,424176,163040,All India Trinamool Congress
381,2,Khadoor Sahib(3),AMRITPAL SINGH,359415,166858,Independent
382,156,Pilibhit(26),JITIN PRASADA,565983,168382,Bharatiya Janata Party
383,5,Eluru(10),PUTTA MAHESH KUMAR,700767,171808,Telugu Desam
384,16,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,662674,172117,Telugu Desam
385,86,BALAGHAT(15),BHARTI PARDHI,702281,173019,Bharatiya Janata Party
386,18,Darbhanga(14),GOPAL JEE THAKUR,554193,173411,Bharatiya Janata Party
387,1,TIRUCHIRAPPALLI(24),DURAI VAIKO,301670,174365,Marumalarchi Dravida Munnetra Kazhagam
388,68,CUDDALORE(26),M.K. VISHNUPRASAD,439551,175206,Indian National Congress
389,81,REWA(10),JANARDAN MISHRA,442377,177337,Bharatiya Janata Party
390,1,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,337176,177380,Jammu & Kashmir National Conference
391,1,Barpeta(3),PHANI BHUSAN CHOUDHURY,630991,177481,Asom Gana Parishad
392,58,HAMIRPUR(3),ANURAG SINGH THAKUR,592481,178056,Bharatiya Janata Party
393,105,Palghar(22),DR. HEMANT VISHNU SAVARA,585837,179830,Bharatiya Janata Party
394,4,MADURAI(32),VENKATESAN S,371927,181634,Communist Party of India
395,82,SIDHI(11),DR. RAJESH MISHRA,491755,181862,Bharatiya Janata Party
396,207,Jamshedpur(9),BIDYUT BARAN MAHATO,426857,182673,Bharatiya Janata Party
397,13,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,748461,182753,Telugu Desam
398,3,Nagaon(9),PRADYUT BORDOLOI,596251,184726,Indian National Congress
399,1,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,270494,184729,Dravida Munnetra Kazhagam
400,1,Kakinada(6),TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),643578,190784,Janasena Party
401,13,Jadavpur(22),SAYANI GHOSH,555313,192386,All India Trinamool Congress
402,2,Machilipatnam(11),BALASHOWRY VALLABHANENI,573995,194294,Janasena Party
403,2,Vizianagaram(3),APPALANAIDU KALISETTI,587313,195120,Telugu Desam
404,41,Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,530238,195735,Indian National Congress
405,152,Agra(18),PROF S P SINGH BAGHEL,461619,196908,Bharatiya Janata Party
406,12,Lakhimpur(12),PRADAN BARUAH,649002,196954,Bharatiya Janata Party
407,150,Hathras(16),ANOOP PRADHAN BALMIKI,445385,196985,Bharatiya Janata Party
408,5,BARAMULLA(1),ABDUL RASHID SHEIKH,452812,198924,Independent
409,136,JALORE (18),LUMBARAM,796783,201543,Bharatiya Janata Party
410,95,RATLAM(24),ANITA NAGARSINGH CHOUHAN,788210,207173,Bharatiya Janata Party
411,229,North-West Delhi(5),YOGENDER CHANDOLIYA,598596,208323,Bharatiya Janata Party
412,7,Guwahati(5),BIJULI KALITA  MEDHI,715699,209798,Bharatiya Janata Party
413,50,Valsad(26),DHAVAL LAXMANBHAI  PATEL,764226,210704,Bharatiya Janata Party
414,52,KARNAL(5),MANOHAR LAL,682324,211115,Bharatiya Janata Party
415,3,Kalyan(24),DR SHRIKANT EKNATH SHINDE,461829,213953,Shiv Sena
416,80,Barabanki(53),TANUJ PUNIA,696403,215738,Indian National Congress
417,111,Bargarh(1),PRADEEP PUROHIT,618890,216396,Bharatiya Janata Party
418,89,Bhongir (14),CHAMALA KIRAN KUMAR REDDY,614349,217555,Indian National Congress
419,90,Warangal(15),KADIYAM KAVYA,570748,217720,Indian National Congress
420,216,Karimnagar (3),BANDI SANJAY KUMAR,572741,218199,Bharatiya Janata Party
421,96,DHAR(25),SAVITRI THAKUR,794123,219313,Bharatiya Janata Party
422,14,NILGIRIS(19),RAJA A,433840,220770,Dravida Munnetra Kazhagam
423,7,Mainpuri(21),DIMPLE YADAV,596548,220932,Samajwadi Party
424,15,Nellore(22),PRABHAKAR REDDY VEMIREDDY,691583,221310,Telugu Desam
425,212,Almora(3),AJAY TAMTA,414273,224729,Bharatiya Janata Party
426,102,Raver(4),KHADSE RAKSHA NIKHIL,546311,228247,Bharatiya Janata Party
427,48,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,754855,231336,Bharatiya Janata Party
428,62,DAUSA (11),MURARI LAL MEENA,635127,231701,Indian National Congress
429,2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,718641,235469,Bharatiya Janata Party
430,2,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,540403,236518,Indian Union Muslim League
431,37,Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,618120,237171,Bharatiya Janata Party
432,193,RAIGARH(2),RADHESHYAM RATHIYA,797718,237556,Bharatiya Janata Party
433,101,Jalgaon(3),SMITA UDAY WAGH,632259,239230,Bharatiya Janata Party
434,9,Basirhat(18),SK NURUL ISLAM,484836,241545,All India Trinamool Congress
435,1,Anakapalle(5),C.M.RAMESH,613138,242475,Bharatiya Janata Party
436,134,PALI(15),P. P. CHAUDHARY,749452,244123,Bharatiya Janata Party
437,10,Osmanabad(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,561042,244853,Shiv Sena
438,1,BANSWARA (20),RAJ KUMAR ROAT,814789,246880,Bharat Adivasi Party
439,208,Palamau(13),VISHNU DAYAL RAM,636113,248896,Bharatiya Janata Party
440,29,Ernakulam(12),HIBI EDEN,478989,248930,Indian National Congress
441,69,MAYILADUTHURAI(28),SUDHA R,475777,251143,Indian National Congress
442,56,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895,Bharatiya Janata Party
443,65,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,708067,252716,Bharatiya Janata Party
444,9,Silchar (8),PARIMAL SUKLABAIDYA,543465,252880,Bharatiya Janata Party
445,151,Mathura(17),HEMAMALINI DHARMENDRA DEOL,438909,255856,Bharatiya Janata Party
446,6,Darrang-Udalguri(4),DILIP SAIKIA,724228,257024,Bharatiya Janata Party
447,18,THANJAVUR(30),MURASOLI S,412859,259418,Dravida Munnetra Kazhagam
448,210,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,440213,259513,Bharatiya Janata Party
449,137,UDAIPUR (19),MANNA LAL RAWAT,732757,259590,Bharatiya Janata Party
450,34,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,664069,260907,Bharatiya Janata Party
451,106,Mumbai North(26),PIYUSH GOYAL,543333,262997,Bharatiya Janata Party
452,68,Bangalore North(24),SHOBHA KARANDLAJE,970924,266836,Bharatiya Janata Party
453,27,Kachchh(1),CHAVDA VINOD LAKHAMSHI,654279,267433,Bharatiya Janata Party
454,10,SIRSA(3),SELJA,732298,267826,Indian National Congress
455,70,Bangalore South(26),TEJASVI SURYA,727537,268077,Bharatiya Janata Party
456,67,Bangalore Rural(23),DR C N MANJUNATH,1075553,268094,Bharatiya Janata Party
457,98,KHANDWA(28),GYANESHWAR PATIL,861015,269622,Bharatiya Janata Party
458,13,Dibrugarh(13),SARBANANDA SONOWAL,679431,271375,Bharatiya Janata Party
459,4,SRIPERUMBUDUR(5),T R BAALU,425204,273135,Dravida Munnetra Kazhagam
460,3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),699382,273345,Bharatiya Janata Party
461,148,Bulandshahr(14),DR BHOLA SINGH,597310,275134,Bharatiya Janata Party
462,6,Vijayawada(12),KESINENI SIVANATH (CHINNI),770934,276763,Telugu Desam
463,2,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,516808,279303,Jammu & Kashmir National Conference
464,33,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437,Bharatiya Janata Party
465,4,Amalapuram (SC)(7),G M HARISH (BALAYOGI),657064,286519,Telugu Desam
466,146,Ghaziabad(12),ATUL GARG,726354,288770,Bharatiya Janata Party
467,13,ROHTAK(7),DEEPENDER SINGH HOODA,631818,290363,Indian National Congress
468,1,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,676536,291292,Telugu Desam
469,20,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,415656,295023,Dravida Munnetra Kazhagam
470,28,Bolpur(41),ASIT KUMAR MAL,764580,296394,All India Trinamool Congress
471,1,Malappuram(6),E.T.  MOHAMMED BASHEER,639575,298305,Indian Union Muslim League
472,65,TIRUVALLUR(1),Sasikanth Senthil,420177,298433,Indian National Congress
473,7,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,709613,299509,Telugu Desam
474,11,Sonitpur(11),RANJIT DUTTA,633768,303136,Bharatiya Janata Party
475,39,Amreli(14),BHARATBHAI MANUBHAI SUTARIYA,580872,321068,Bharatiya Janata Party
476,29,Mahesana(4),HARIBHAI PATEL,675614,323036,Bharatiya Janata Party
477,44,Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,675576,325308,Bharatiya Janata Party
478,17,PERAMBALUR(25),ARUN NEHRU,503308,325396,Dravida Munnetra Kazhagam
479,213,Nainital-Udhamsingh Nagar(4),AJAY BHATT,756747,326667,Bharatiya Janata Party
480,133,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991,Bharatiya Janata Party
481,64,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,777887,334591,Bharatiya Janata Party
482,1,Hyderabad(9),ASADUDDIN OWAISI,658811,338335,All India Majlis-E-Ittehadul Muslimeen
483,91,Mahabubabad  (16),BALRAM NAIK PORIKA,605359,344214,Indian National Congress
484,3,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,625593,344229,Telugu Desam
485,197,DURG(7),VIJAY BAGHEL,741180,347239,Bharatiya Janata Party
486,93,UJJAIN(22),ANIL FIROJIYA,757933,351175,Bharatiya Janata Party
487,140,BHILWARA(23),DAMODAR AGARWAL,807640,354606,Bharatiya Janata Party
488,42,Kheda(17),DEVUSINH CHAUHAN,744435,357758,Bharatiya Janata Party
489,3,DINDIGUL(22),SACHITHANANTHAM R,540528,358623,Communist Party of India
490,25,Wayanad(4),RAHUL GANDHI,641725,361394,Indian National Congress
491,90,BHOPAL(19),ALOK SHARMA,792622,361433,Bharatiya Janata Party
492,142,JHALAWAR-BARAN(25),DUSHYANT SINGH,861850,369508,Bharatiya Janata Party
493,1,Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910,Voice of the People Party
494,219,Malkajgiri(7),EATALA RAJENDER,960374,376800,Bharatiya Janata Party
495,99,BETUL(29),DURGADAS (D. D.) UIKEY,846696,378886,Bharatiya Janata Party
496,36,Porbandar(11),DR. MANSUKH MANDAVIYA,625962,380285,Bharatiya Janata Party
497,10,Joynagar(19),PRATIMA MONDAL,707211,380410,All India Trinamool Congress
498,138,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,868900,383457,Bharatiya Janata Party
499,77,Rae Bareli(36),RAHUL GANDHI,684261,388615,Indian National Congress
500,139,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223,Bharatiya Janata Party
501,83,SHAHDOL(12),SMT. HIMADRI SINGH,703570,392859,Bharatiya Janata Party
502,46,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,791727,397294,Bharatiya Janata Party
503,78,DAMOH(7),RAHUL SINGH LODHI,708589,405761,Bharatiya Janata Party
504,92,DEWAS(21),MAHENDRA SINGH SOLANKY,925917,423369,Bharatiya Janata Party
505,198,RAIPUR(8),BRIJMOHAN AGRAWAL,766897,424770,Bharatiya Janata Party
506,88,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,810529,430661,Bharatiya Janata Party
507,77,SAGAR(5),DR. LATA WANKHEDE,752165,450678,Bharatiya Janata Party
508,40,Bhavnagar(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289,Bharatiya Janata Party
509,32,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),762517,458949,Bharatiya Janata Party
510,92,Khammam (17),RAMASAHAYAM RAGHURAM REDDY,759603,462011,Indian National Congress
511,94,MANDSOUR(23),SUDHEER GUPTA,893302,472797,Bharatiya Janata Party
512,84,JABALPUR(13),ASHISH DUBEY,769850,475079,Bharatiya Janata Party
513,35,Rajkot(10),PARSHOTTAMBHAI RUPALA,834197,476023,Bharatiya Janata Party
514,43,Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,784086,505107,Bharatiya Janata Party
515,79,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),751970,525798,Bharatiya Janata Party
516,76,GUNA(4),JYOTIRADITYA M. SCINDIA,919744,538835,Bharatiya Janata Party
517,88,Nalgonda(13),KUNDURU RAGHUVEER,772264,552658,Indian National Congress
518,147,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,850092,553934,Bharatiya Janata Party
519,45,Vadodara(20),DR. HEMANG JOSHI,873189,582126,Bharatiya Janata Party
520,143,Tripura West(1),BIPLAB KUMAR DEB,868484,602572,Bharatiya Janata Party
521,1,Dhubri (2),RAKIBUL HUSSAIN,1014295,689419,Indian National Congress
522,12,Diamond harbour(21),ABHISHEK BANERJEE,1011196,693420,All India Trinamool Congress
523,31,Gandhinagar(6),AMIT SHAH,998407,737357,Bharatiya Janata Party
524,49,Navsari(25),C R PATIL,1021095,767411,Bharatiya Janata Party
525,89,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1076631,793617,Bharatiya Janata Party
